query,description,platform
"site:{ARG} intitle:\"index of\"","Busca listagens públicas de diretórios para auditoria de arquivos expostos","DuckDuckGo"
"site:{ARG} filetype:pdf","Localiza documentos PDF públicos em um domínio (auditoria de conteúdo)","DuckDuckGo"
"site:{ARG} filetype:sql OR filetype:db","Procura dumps de banco de dados publicados por engano (uso defensivo)","DuckDuckGo"
"site:{ARG} inurl:login","Identifica páginas de login públicas para revisar proteção","DuckDuckGo"
"site:{ARG} inurl:admin OR intitle:admin","Encontra painéis administrativos públicos do próprio domínio para hardening","DuckDuckGo"
"site:{ARG} \"robots.txt\"","Recupera o robots.txt do domínio para revisar caminhos listados que merecem auditoria","DuckDuckGo"
"site:{ARG} intext:\"API key\" OR intext:\"api_key\"","Busca exposições de chaves de API em páginas públicas (auditoria)","DuckDuckGo"
"site:{ARG} \"sitemap.xml\"","Localiza o sitemap para mapear conteúdo indexado publicamente","DuckDuckGo"
"site:{ARG} filetype:env OR filetype:ini","Procura arquivos de configuração que possam conter segredos — uso defensivo","DuckDuckGo"
"site:{ARG} \"backup\" OR inurl:backup","Identifica arquivos/backups expostos em servidores públicos","DuckDuckGo"
"site:{ARG} filetype:log","Busca arquivos de log públicos que possam expor dados sensíveis (auditoria)","DuckDuckGo"
"site:{ARG} intext:\"private key\" OR intext:\"ssh-rsa\"","Detecta publicação acidental de chaves privadas — para revogação imediata","DuckDuckGo"
"site:{ARG} \"index of /uploads\"","Localiza diretórios de upload públicos para avaliar conteúdo exposto","DuckDuckGo"
"site:{ARG} ext:xml OR filetype:xml","Pesquisa arquivos XML públicos (configurações, feeds) para revisão","DuckDuckGo"
"site:{ARG} \"password\" OR \"passwd\"","Procura páginas que contenham referências óbvias a senhas (auditoria)","DuckDuckGo"
"site:{ARG} \".git/\" OR inurl:.git","Detecta repositórios Git expostos que podem conter código/sensíveis — uso defensivo","DuckDuckGo"
"site:{ARG} \"sensitive\" OR \"confidential\"","Busca páginas que possam ter conteúdo sensível publicado por engano","DuckDuckGo"
"site:{ARG} inurl:phpinfo.php OR intext:\"phpinfo()\"","Encontra páginas phpinfo públicas que expõem configuração do servidor (corrigir)","DuckDuckGo"
